"date","price","rate"
2014-11-02,53949.58,0.0117359732706781
2014-11-09,53254.04,-0.0129762364314789
2014-11-16,53176.98,-0.00144807432016947
2014-11-23,53215.87,0.000731064197116993
2014-11-30,53247.07,0.000586119468298563
2014-12-07,53652.58,0.00758677778771677
2014-12-14,52265.24,-0.0261980344319355
2014-12-21,51297.12,-0.0186969127073713
2014-12-28,51511.68,0.00417396782192547
2015-01-04,51378,-0.00259851279973411
2015-01-11,52065.88,0.0132997745163994
2015-01-18,50300.33,-0.0344982020681535
2015-01-25,51680.12,0.0270615437327191
2015-02-01,52102.39,0.00813763957463465
2015-02-08,52417.42,0.00602815780053234
2015-02-15,52368.83,-0.000927411821354696
2015-02-22,52566.43,0.0037661360644563
2015-03-01,53304.21,0.0139376118479486
2015-03-08,53381.8,0.00145454898312991
2015-03-15,52740.67,-0.0120829792278645
2015-03-22,54477.36,0.0323983178427856
2015-03-29,53607.28,-0.0161003227678869
2015-04-05,54179.04,0.010609238035121
2015-04-12,55026.26,0.0155164080481942
2015-04-19,55459.57,0.00784376098906492
2015-04-26,56518.96,0.0189218702590264
2015-05-03,56477.69,-0.000730464165709321
2015-05-10,57379.45,0.0158405323707953
2015-05-17,56901.42,-0.00836592840179229
2015-05-24,56828.92,-0.00127494580286402
2015-05-31,55531.79,-0.0230897015192877
2015-06-07,54278.69,-0.0228239490059501
2015-06-14,53956.79,-0.00594815949601823
2015-06-21,53039.35,-0.0171494501594829
2015-06-28,53836.45,0.0149166561550533
2015-07-05,52764.91,-0.0201043606101194
2015-07-12,52588.42,-0.0033504430301079
2015-07-19,53428.96,0.0158569776446651
2015-07-26,51860.33,-0.0297987776840021
2015-08-02,52750.94,0.0170274487265729
2015-08-09,52425.2,-0.006194200348137
2015-08-16,52566.45,0.00269069178775183
2015-08-23,51850.61,-0.0137113842300156
2015-08-30,50972.44,-0.0170816048092171
2015-09-06,50792.08,-0.00354465758490008
2015-09-13,51519.45,0.0142189693551789
2015-09-20,51303.79,-0.00419477768318188
2015-09-27,49935.09,-0.0270406665535745
2015-10-04,49275.66,-0.0132937148713044
2015-10-11,51710.74,0.0482352497187435
2015-10-18,51391.65,-0.00618978898135936
2015-10-25,51157.09,-0.0045746131850013
2015-11-01,50271.65,-0.0174597947946591
2015-11-08,49599.29,-0.0134647808106401
